"Data","Último","Abertura","Máxima","Mínima","Var%"
"23.06.2023","269,04","269,04","269,04","269,04","-0,82%"
"22.06.2023","271,26","271,26","271,59","271,26","-0,93%"
"21.06.2023","273,81","273,81","273,89","273,81","-0,95%"
"20.06.2023","276,45","276,45","276,71","276,45","-0,05%"
"19.06.2023","276,58","276,58","278,97","276,58","0,09%"
"16.06.2023","276,32","276,32","279,10","276,32","-1,67%"
"15.06.2023","281,01","281,01","281,01","280,81","-0,62%"
"14.06.2023","282,76","282,76","282,76","282,30","-0,56%"
"13.06.2023","284,36","284,36","285,22","284,36","-0,93%"
"12.06.2023","287,02","287,02","287,02","286,54","-0,28%"
"09.06.2023","287,82","287,82","288,77","287,82","-0,76%"
"08.06.2023","290,03","290,03","290,03","289,33","-0,04%"
"07.06.2023","290,16","290,16","291,22","290,16","-0,94%"
"06.06.2023","292,91","292,91","292,91","292,17","-1,14%"
"05.06.2023","296,29","296,29","296,29","294,04","-0,11%"
"02.06.2023","296,61","296,61","298,11","296,61","-0,64%"
"01.06.2023","298,52","298,52","299,68","298,52","0,82%"
"31.05.2023","296,10","296,10","298,94","296,10","-0,27%"
"30.05.2023","296,91","296,91","298,00","296,91","-0,19%"
"29.05.2023","297,48","297,48","298,53","297,48","-1,45%"
"26.05.2023","301,87","301,87","301,87","298,82","-0,35%"
"25.05.2023","302,93","302,93","302,99","302,93","0,10%"
"24.05.2023","302,64","302,64","304,30","302,64","-0,43%"
"23.05.2023","303,96","303,96","303,96","302,98","-0,39%"
"22.05.2023","305,15","305,15","305,15","304,45","-15,38%"
"19.05.2023","360,63","360,63","360,63","304,72","7,00%"
"18.05.2023","337,04","337,04","337,04","316,45","8,00%"
"17.05.2023","312,07","312,07","316,39","312,07","0,01%"
"16.05.2023","312,03","312,03","316,40","312,03","0,01%"
"15.05.2023","312,00","312,00","316,38","312,00","0,01%"
"12.05.2023","311,97","316,38","316,40","311,97","-0,01%"
"11.05.2023","312,00","312,00","316,38","312,00","-1,40%"
"10.05.2023","316,42","311,99","316,42","311,99","0,00%"
"09.05.2023","316,41","311,98","316,41","311,98","1,66%"
"08.05.2023","311,25","311,25","312,82","311,25","-0,35%"
"05.05.2023","312,35","314,96","314,96","312,35","-0,85%"
"04.05.2023","315,04","308,43","315,04","308,43","3,08%"
"03.05.2023","305,64","305,64","309,78","305,64","0,50%"
"02.05.2023","304,11","304,11","306,86","304,11","-0,55%"
"01.05.2023","305,78","305,78","305,78","305,45","-2,68%"
"28.04.2023","314,21","314,21","314,21","306,96","-1,03%"
"27.04.2023","317,48","317,48","317,48","314,18","0,70%"
"26.04.2023","315,27","315,27","318,19","315,27","0,29%"
"25.04.2023","314,37","314,37","316,66","314,37","-0,64%"
"24.04.2023","316,40","316,40","316,40","316,06","-0,27%"
"21.04.2023","317,27","315,15","317,27","315,15","1,83%"
"20.04.2023","311,57","311,57","315,74","311,57","1,70%"
"19.04.2023","306,35","306,35","306,35","306,35","0,62%"
"18.04.2023","304,47","304,47","304,47","304,47","0,01%"
"17.04.2023","304,43","304,43","304,43","304,43","-0,15%"
"14.04.2023","304,89","304,89","304,89","304,89","-2,97%"
"13.04.2023","314,23","314,23","314,23","314,23","0,01%"
"12.04.2023","314,21","314,21","314,21","314,21","-1,82%"
"11.04.2023","320,03","320,03","320,03","320,03","-0,26%"
"10.04.2023","320,86","320,86","320,86","320,86","0,37%"
"07.04.2023","319,67","319,67","319,67","319,67","1,04%"
"06.04.2023","316,37","316,37","316,37","316,37","1,45%"
"05.04.2023","311,85","311,85","311,85","311,85","0,75%"
"04.04.2023","309,53","309,53","309,53","309,53","-0,28%"
"03.04.2023","310,41","310,41","310,41","310,41","-2,29%"
"31.03.2023","317,70","317,70","317,70","317,70","-1,60%"
"30.03.2023","322,85","322,85","322,85","322,85","-1,21%"
"29.03.2023","326,79","326,79","326,79","326,79","-0,44%"
"28.03.2023","328,23","328,23","328,23","328,23","-1,53%"
"27.03.2023","333,33","333,33","333,33","333,33","-0,68%"
"24.03.2023","335,62","335,62","335,62","335,62","1,43%"
"23.03.2023","330,88","330,88","330,88","330,88","-1,76%"
"22.03.2023","336,80","336,80","336,80","336,80","-2,01%"
"21.03.2023","343,71","343,71","343,71","343,71","-4,32%"
"20.03.2023","359,24","359,24","359,24","359,24","10,74%"
"17.03.2023","324,39","324,39","324,39","324,39","-0,59%"
"16.03.2023","326,33","326,33","326,33","326,33","2,34%"
"15.03.2023","318,87","318,87","318,87","318,87","3,56%"
"14.03.2023","307,90","307,90","307,90","307,90","0,01%"
"13.03.2023","307,88","307,88","307,88","307,88","1,36%"
"10.03.2023","303,76","303,76","303,76","303,76","0,90%"
"09.03.2023","301,06","301,06","301,06","301,06","0,28%"
"08.03.2023","300,21","300,21","300,21","300,21","2,37%"
"07.03.2023","293,25","293,25","293,25","293,25","-1,98%"
"06.03.2023","299,17","299,17","299,17","299,17","-3,21%"
"03.03.2023","309,10","309,10","309,10","309,10","-0,71%"
"02.03.2023","311,32","311,32","311,32","311,32","-0,95%"
"01.03.2023","314,30","314,30","314,30","314,30","0,12%"
"28.02.2023","313,91","313,91","313,91","313,91","-1,31%"
"27.02.2023","318,07","318,07","318,07","318,07","1,37%"
"24.02.2023","313,76","313,76","313,76","313,76","-1,91%"
"23.02.2023","319,88","319,88","319,88","319,88","-1,04%"
"22.02.2023","323,25","323,25","323,25","323,25","3,36%"
"21.02.2023","312,74","312,74","312,74","312,74","-0,01%"
"20.02.2023","312,78","312,78","312,78","312,78","1,62%"
"17.02.2023","307,78","307,78","307,78","307,78","0,99%"
"16.02.2023","304,77","304,77","304,77","304,77","-0,80%"
"15.02.2023","307,22","307,22","307,22","307,22","-1,21%"
"14.02.2023","310,98","310,98","310,98","310,98","-1,73%"
"13.02.2023","316,45","316,45","316,45","316,45","0,34%"
"10.02.2023","315,37","315,37","315,37","315,37","1,24%"
"09.02.2023","311,52","311,52","311,52","311,52","1,33%"
"08.02.2023","307,44","307,44","307,44","307,44","-1,56%"
"07.02.2023","312,31","312,31","312,31","312,31","2,14%"
"06.02.2023","305,77","305,77","305,77","305,77","2,45%"
"03.02.2023","298,47","298,47","298,47","298,47","-1,68%"
"02.02.2023","303,56","303,56","303,56","303,56","-2,20%"
"01.02.2023","310,40","310,40","310,40","310,40","-1,80%"
"31.01.2023","316,10","316,10","316,10","316,10","1,29%"
"30.01.2023","312,08","312,08","312,08","312,08","-1,93%"
"27.01.2023","318,23","318,23","318,23","318,23","-1,25%"
"26.01.2023","322,26","322,26","322,26","322,26","0,74%"
"25.01.2023","319,88","319,88","319,88","319,88","-1,51%"
"24.01.2023","324,78","324,78","324,78","324,78","-0,70%"
"23.01.2023","327,06","327,06","327,06","327,06","0,20%"
"20.01.2023","326,42","326,42","326,42","326,42","2,66%"
"19.01.2023","317,97","317,97","317,97","317,97","-1,43%"
"18.01.2023","322,58","322,58","322,58","322,58","-0,02%"
"17.01.2023","322,63","322,63","322,63","322,63","-0,12%"
"16.01.2023","323,03","323,03","323,03","323,03","-0,09%"
"13.01.2023","323,31","323,31","323,31","323,31","-0,99%"
"12.01.2023","326,54","326,54","326,54","326,54","-1,58%"
"11.01.2023","331,77","331,77","331,77","331,77","0,34%"
"10.01.2023","330,64","330,64","330,64","330,64","1,08%"
"09.01.2023","327,11","327,11","327,11","327,11","-4,40%"
"06.01.2023","342,15","342,15","342,15","342,15","1,33%"
"05.01.2023","337,67","337,67","337,67","337,67","0,43%"
"04.01.2023","336,24","336,24","336,24","336,24","0,85%"
"03.01.2023","333,40","333,40","333,40","333,40","-0,26%"
"02.01.2023","334,26","334,26","334,26","334,26","0,27%"
"30.12.2022","333,35","333,35","333,35","333,35","-0,53%"
"29.12.2022","335,14","335,14","335,14","335,14","-0,12%"
"28.12.2022","335,55","335,55","335,55","335,55","-0,03%"
"27.12.2022","335,65","335,65","335,65","335,65","-0,19%"
"26.12.2022","336,30","336,30","336,30","336,30","0,38%"
"23.12.2022","335,02","335,02","335,02","335,02","0,41%"
"22.12.2022","333,66","333,66","333,66","333,66","-2,24%"
"21.12.2022","341,31","341,31","341,31","341,31","-0,30%"
"20.12.2022","342,35","342,35","342,35","342,35","1,39%"
"19.12.2022","337,66","337,66","337,66","337,66","1,78%"
"16.12.2022","331,75","331,75","331,75","331,75","1,62%"
"15.12.2022","326,46","326,46","326,46","326,46","0,84%"
"14.12.2022","323,73","323,73","323,73","323,73","-1,39%"
"13.12.2022","328,29","328,29","328,29","328,29","2,23%"
"12.12.2022","321,12","321,12","321,12","321,12","-0,90%"
"09.12.2022","324,02","324,02","324,02","324,02","-0,29%"
"08.12.2022","324,97","324,97","324,97","324,97","-1,00%"
"07.12.2022","328,25","328,25","328,25","328,25","0,24%"
"06.12.2022","327,45","327,45","327,45","327,45","3,87%"
"05.12.2022","315,26","315,26","315,26","315,26","-1,39%"
"02.12.2022","319,71","319,71","319,71","319,71","-5,02%"
"01.12.2022","336,61","336,61","336,61","336,61","-0,09%"
"30.11.2022","336,91","336,91","336,91","336,91","-2,26%"
"29.11.2022","344,70","344,70","344,70","344,70","1,33%"
"28.11.2022","340,18","340,18","340,18","340,18","0,15%"
"25.11.2022","339,68","339,68","339,68","339,68","-0,03%"
"24.11.2022","339,79","339,79","339,79","339,79","-1,40%"
"23.11.2022","344,62","344,62","344,62","344,62","0,06%"
"22.11.2022","344,42","344,42","344,42","344,42","-2,08%"
"21.11.2022","351,72","351,72","351,72","351,72","1,29%"
"18.11.2022","347,25","347,25","347,25","347,25","1,18%"
