Ano;Receita;crescimentoROL;Custos;%custos;Lucro_bruto;Despesas;%despesas;EBITDA;Mg_ebitda;D&A_juros;%D&A_juros;EBT;Mg_ebt;IRPJ&CSLL;%impostorenda;Lucro_liquido
2012;41161265373;0;37387622838;0.91;3773642535;2341446049;0.06;1432196486;0.04;104281165;0;1536477651;0.04;565070350;0.37;971407301
2013;40235884069;-0.02;37018297215;0.92;3217586854;1929063566;0.05;1288523288;0.03;126991645;0;1415514934;0.04;423770655;0.3;991744278
2014;41974118631;0.04;38868064525;0.93;3106054106;2455959665;0.06;650094440;0.02;8520242;-;658614682;0.02;180203112;0.27;478411571
2015;29636178929;-0.29;27408286490;0.93;2227892439;2727210874;0.09;-499318434;-0.02;-90175873;0;-589494307;-0.02;-235797723;0.4;-353696584
2016;24993894115;-0.16;23128807311;0.93;1865086804;1432640537;0.06;432446268;0.02;-616214294;-0.03;-183768027;-0.01;-92893728;0.51;-90874299
2017;26497578370;0.06;24502591183;0.93;1994987187;1318815937;0.05;676171250;0.03;-185806094;-0.01;490365156;0.02;129719600;0.27;360645556
2018;26927358326;0.02;25314250648;0.94;1613107678;1206870044;0.05;406237635;0.02;918234762;0.03;1324472396;0.05;445071198;0.34;879401198
2019;24116567406;-0.1;22603838990;0.94;1512728416;1179867229;0.05;332861187;0.01;505766198;0.02;838627385;0.04;277257373;0.33;561370011
2020;15959633530;-0.34;15086857900;0.95;872775630;-51109364.9;0;923884995;0.06;21931988;0;945816983;0.06;181134722;0.19;764682261
2021;24149483401;0.51;22877989094;0.95;1271494307;655698348.9;0.03;615795959;0.03;-26725322;0;589070637;0.02;125646131;0.21;463424505
2022;35205272645;0.46;33752210650;0.96;1453061996;843237739.7;0.02;609824256;0.02;-235353746;-0.01;374470510;0.01;76252285;0.2;298218225
